,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"68,674","43,612","9,43,588",29.84,194.90,-87.60,130,194.65,195.00,195,"23,500.00",65,45.95,46.05,"4,810",-15.50,46.05,16.74,"35,45,954","1,56,351","2,60,312",
,"63,757","51,821","10,98,456",28.31,160.15,-89.50,65,159.65,159.95,195,"23,550.00","2,210",60.95,61.05,195,-15.20,61.00,16.04,"26,62,076","1,10,404","1,39,798",
,"2,02,465","1,79,645","28,36,611",27.23,129.05,-83.05,"1,170",128.85,129.10,"1,365","23,600.00","1,300",79.50,79.65,"1,170",-14.60,79.65,14.97,"39,60,767","1,45,789","2,09,300",
,"1,45,235","1,32,120","19,36,739",26.36,101.35,-80.55,"2,080",101.05,101.35,"1,560","23,650.00","1,690",102.40,102.70,"1,040",-10.30,102.65,13.44,"17,25,372","56,809","79,299",
,"2,52,064","1,75,024","24,45,801",25.66,78.30,-77.70,845,78.20,78.40,"2,340","23,700.00","1,170",129.65,130.00,780,-3.25,129.85,11.22,"15,06,938","33,387","1,03,957",
,"1,21,185","80,729","11,17,905",25.19,59.70,-73.40,"3,965",59.50,59.65,715,"23,750.00",650,161.00,161.35,130,5.90,160.60,-,"4,16,350","3,601","30,298",
,"2,01,479","99,901","17,41,941",25.00,45.10,-66.60,"5,655",44.95,45.10,"4,680","23,800.00",260,196.20,196.65,130,12.00,196.30,-,"5,21,316","-10,838","45,762",
,"92,500","33,421","8,43,867",24.89,33.75,-58.90,"3,705",33.65,33.75,"1,235","23,850.00",195,234.60,235.25,520,21.90,235.50,-,"97,548","-2,465","11,374",
,"2,05,470","63,686","12,33,528",24.99,25.20,-51.15,"5,525",25.20,25.30,"7,345","23,900.00",390,275.95,276.70,260,27.25,275.70,-,"1,37,993","-14,013","29,802",
,"1,23,792","35,162","7,04,159",25.25,19.00,-43.65,"10,010",18.95,19.00,195,"23,950.00",325,319.65,320.65,130,34.45,320.25,-,"24,417","-2,054","10,791",
,"3,38,491","1,02,018","15,08,770",25.67,14.45,-36.25,"26,325",14.45,14.50,"5,395","24,000.00",65,365.25,366.20,195,42.00,366.05,-,"87,187","-11,016","40,588",
,"91,359","34,885","4,85,711",25.98,11.00,-30.25,"26,195",10.90,11.00,"18,590","24,050.00",130,411.40,412.65,260,49.15,411.95,-,"4,910",-407,"5,982",
,"1,45,542","18,101","8,18,637",26.48,8.50,-24.30,"15,925",8.45,8.50,"28,860","24,100.00",455,458.95,460.35,390,56.15,460.35,-,"20,608",-963,"10,737",
,"55,720","9,767","3,77,362",27.06,6.70,-20.00,"18,135",6.65,6.70,"19,305","24,150.00",130,506.50,508.20,130,61.30,508.05,-,"1,642",-200,"2,260",
,"1,89,190","28,301","6,97,085",27.63,5.30,-16.40,"65,520",5.30,5.35,"28,795","24,200.00",65,556.05,557.40,715,69.65,557.25,-,"9,353",-795,"7,230",
,"60,430","15,576","3,63,609",28.42,4.30,-13.35,"49,790",4.30,4.35,"61,880","24,250.00",65,603.65,606.15,130,72.65,608.95,-,476,-86,"1,312",
,"1,35,773","30,368","6,75,445",29.31,3.60,-10.85,"60,255",3.60,3.65,"93,665","24,300.00",130,653.65,655.85,65,71.80,656.00,-,"1,737",-378,"3,369",
,"47,067","3,388","2,79,121",30.00,2.95,-9.10,"2,68,710",2.90,2.95,"2,51,940","24,350.00",195,701.40,705.05,65,90.70,710.70,-,95,-30,785,
,"91,816","5,871","5,35,131",30.92,2.50,-7.70,"3,98,580",2.50,2.55,"2,59,025","24,400.00",195,751.70,755.40,65,57.90,744.00,-,608,-257,"2,892",
,"33,815","-2,836","2,86,084",31.89,2.20,-6.45,"1,36,760",2.15,2.20,"2,29,710","24,450.00",260,800.25,805.45,130,88.60,809.15,-,57,-27,422,
,"1,66,345","12,516","7,59,927",32.98,1.90,-5.60,"3,78,950",1.90,1.95,"4,29,585","24,500.00",65,850.95,853.80,65,75.45,853.00,-,"2,393","-1,096","8,089",
,"36,510","-4,807","2,70,394",34.12,1.75,-4.55,"1,59,640",1.75,1.80,"3,60,230","24,550.00",390,900.30,906.00,390,102.60,936.65,-,18,1,404,
,"82,587","7,671","4,21,039",34.78,1.50,-4.00,"5,88,835",1.50,1.55,"4,78,920","24,600.00",520,949.20,953.00,65,88.15,959.00,-,183,-32,"1,321",
,"22,451","-4,382","1,15,399",36.07,1.45,-3.35,"2,22,495",1.40,1.45,"2,24,185","24,650.00",65,998.95,"1,004.55",65,134.40,"1,031.20",-,9,3,72,
,"90,563","-49,966","4,32,503",36.83,1.30,-2.95,"10,09,385",1.25,1.30,"3,51,520","24,700.00",65,"1,050.50","1,055.15",130,66.80,"1,061.80",-,90,-7,421,
,"21,801","-7,570","84,446",38.24,1.20,-2.50,"3,42,680",1.20,1.25,"2,17,295","24,750.00",65,"1,098.75","1,104.90",130,81.70,"1,120.80",-,33,4,80,
,"98,642","-9,001","3,69,383",39.44,1.25,-2.10,"3,92,340",1.20,1.25,"2,38,420","24,800.00",65,"1,150.85","1,155.00",195,78.65,"1,152.00",-,895,-496,714,
,"26,547",647,"64,956",40.82,1.20,-1.80,"2,67,865",1.15,1.20,"2,90,030","24,850.00",845,"1,173.65","1,283.20","2,535",-,-,-,-,-,18,
,"51,929","-5,508","1,33,311",41.99,1.10,-1.60,"4,43,495",1.10,1.15,"2,48,430","24,900.00",260,"1,248.70","1,254.45",130,78.80,"1,263.55",-,36,-14,375,
,"24,817",-257,"27,468",43.13,1.05,-1.45,"2,55,450",1.05,1.10,"2,19,895","24,950.00",130,"1,297.50","1,305.10",65,-,-,-,-,-,23,
,"2,21,014","-14,104","4,96,705",44.24,1.05,-1.25,"11,40,295",1.00,1.05,"9,81,370","25,000.00",130,"1,348.30","1,353.60",65,80.50,"1,342.95",-,999,-731,"5,349",
