S0,K,T,r,sigma,binomial_price,nn_price,nn_error,bucket
120.0,100.0,1.0,0.02,0.4,8.516383723516789,8.564487,0.04810373375860166,OTM put
120.0,100.0,1.0,0.05,0.15,0.4466056403887793,0.44350925,-0.0030963895094915928,OTM put
120.0,100.0,1.0,0.05,0.25,2.6627850194215963,2.6217637,-0.0410213132143209,OTM put
120.0,100.0,1.0,0.05,0.4,7.604981040809117,7.604932,-4.92094492541284e-05,OTM put
120.0,100.0,2.0,0.02,0.15,1.7984700550309571,1.7598673,-0.03860274450697032,OTM put
120.0,100.0,2.0,0.02,0.25,6.241154893035263,6.0790386,-0.1621162730401462,OTM put
120.0,100.0,2.0,0.02,0.4,14.17158714059805,14.170882,-0.0007049155614282654,OTM put
120.0,100.0,2.0,0.05,0.15,1.0863442215779875,1.0719076,-0.014436582074508486,OTM put
120.0,100.0,2.0,0.05,0.25,4.830300903110562,4.7219114,-0.10838947275167499,OTM put
120.0,100.0,2.0,0.05,0.4,12.173811261020537,12.060043,-0.11376792605959984,OTM put
130.0,100.0,0.25,0.02,0.15,0.000342673033416492,0.020153165,0.019810491830169932,OTM put
130.0,100.0,0.25,0.02,0.25,0.08207933486147714,0.057016417,-0.0250629174773295,OTM put
130.0,100.0,0.25,0.02,0.4,0.960491518529914,0.96961737,0.009125848260857494,OTM put
130.0,100.0,0.25,0.05,0.15,0.0002294387820780594,0.014938831,0.014709392547267644,OTM put
130.0,100.0,0.25,0.05,0.25,0.06958811378922737,0.06634173,-0.0032463858171967314,OTM put
130.0,100.0,0.25,0.05,0.4,0.8871698556218304,0.85763407,-0.02953578808642998,OTM put
130.0,100.0,0.5,0.02,0.15,0.01913296275362547,0.02999419,0.010861226985601824,OTM put
130.0,100.0,0.5,0.02,0.25,0.5386442162069028,0.5137986,-0.024845621732110357,OTM put
130.0,100.0,0.5,0.02,0.4,2.8759202837229996,2.8326087,-0.043311583924415586,OTM put
130.0,100.0,0.5,0.05,0.15,0.012283761408285469,0.01730448,0.005020718667550713,OTM put
130.0,100.0,0.5,0.05,0.25,0.4445076103929332,0.44099668,-0.00351093370950728,OTM put
130.0,100.0,0.5,0.05,0.4,2.6081150731708735,2.62187,0.013754967722681144,OTM put
130.0,100.0,1.0,0.02,0.15,0.19820897341602856,0.19806904,-0.00013993740910106522,OTM put
130.0,100.0,1.0,0.02,0.25,1.8404061206617068,1.8856069,0.04520076429465303,OTM put
130.0,100.0,1.0,0.02,0.4,6.385304746796726,6.350258,-0.03504687326157008,OTM put
130.0,100.0,1.0,0.05,0.15,0.11952823461516082,0.11649373,-0.0030345028780239813,OTM put
130.0,100.0,1.0,0.05,0.25,1.4589186767407951,1.4488133,-0.010105357534557324,OTM put
130.0,100.0,1.0,0.05,0.4,5.633541772445814,5.6454678,0.011925985732896827,OTM put
130.0,100.0,2.0,0.02,0.15,0.843889379319074,0.83668816,-0.0072012184227727705,OTM put
130.0,100.0,2.0,0.02,0.25,4.380009259851938,4.3167458,-0.06326350179529694,OTM put
130.0,100.0,2.0,0.02,0.4,11.825282131984176,11.775408,-0.04987434084648079,OTM put
130.0,100.0,2.0,0.05,0.15,0.4615515825690784,0.44838014,-0.01317144011874577,OTM put
130.0,100.0,2.0,0.05,0.25,3.2785078358862143,3.2720222,-0.0064855885717611805,OTM put
130.0,100.0,2.0,0.05,0.4,10.027297946425055,10.001017,-0.026281329603765613,OTM put
